mode,season,route_id,route_name,dir_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,parent_station,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow,ObjectId
Heavy Rail,Fall 2023,Orange,Orange Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Downtown Crossing,place-dwnxg,18267,10891,54,338,202,1100,749
Heavy Rail,Fall 2023,Red,Red Line,NB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Savin Hill,place-shmnl,14278,2296,48,297,48,2243,750
Heavy Rail,Fall 2023,Red,Red Line,NB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Shawmut,place-smmnl,14773,873,48,308,18,1499,751
Heavy Rail,Fall 2023,Red,Red Line,NB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,South Station,place-sstat,73658,59767,48,1535,1245,6650,752
Heavy Rail,Fall 2023,Red,Red Line,NB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Wollaston,place-wlsta,24428,4019,48,509,84,2030,753
Heavy Rail,Fall 2023,Red,Red Line,NB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Alewife,place-alfcl,0,36001,48,0,750,0,754
Heavy Rail,Fall 2023,Red,Red Line,NB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Andrew,place-andrw,24921,7178,48,519,150,3432,755
Heavy Rail,Fall 2023,Red,Red Line,NB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Ashmont,place-asmnl,35995,0,48,750,0,750,756
Heavy Rail,Fall 2023,Red,Red Line,NB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Braintree,place-brntn,8449,0,48,176,0,176,757
Heavy Rail,Fall 2023,Red,Red Line,NB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Broadway,place-brdwy,19226,8072,48,401,168,3628,758
Heavy Rail,Fall 2023,Red,Red Line,NB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Central,place-cntsq,22174,36605,48,462,763,3237,759
Heavy Rail,Fall 2023,Red,Red Line,NB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Charles/MGH,place-chmnl,22666,18874,48,472,393,3672,760
Heavy Rail,Fall 2023,Red,Red Line,NB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Davis,place-davis,1091,32442,48,23,676,777,761
